id,type
YYC,origin
YEG,origin
YVR,origin
YWG,origin
YFC,origin
YQM,origin
YSJ,origin
YDF,origin
YQX,origin
YYR,origin
YYT,origin
YHZ,origin
YQY,origin
YXU,origin
YYB,origin
YOW,origin
YZR,origin
YAM,origin
YSB,origin
YQT,origin
YTS,origin
YTZ,origin
YYZ,origin
YQG,origin
YYG,origin
YBG,origin
YGR,origin
YTM,origin
YUL,origin
YQB,origin
YUY,origin
YZV,origin
YQR,origin
YXE,origin
ANU,destination
AUA,destination
GGT,destination
NAS,destination
BGI,destination
BZE,destination
BDA,destination
GCM,destination
LIR,destination
SJO,destination
HAV,destination
CUR,destination
AZS,destination
POP,destination
PUJ,destination
GND,destination
PTP,destination
PAP,destination
KIN,destination
MBJ,destination
FDF,destination
CUN,destination
CZM,destination
HUX,destination
ZIH,destination
MTY,destination
PVR,destination
SJD,destination
TQO,destination
SJU,destination
UVF,destination
SXM,destination
SVD,destination
SKB,destination
POS,destination
PLS,destination
PHX,destination
FLL,destination
RSW,destination
JAX,destination
MIA,destination
MCO,destination
SRQ,destination
TPA,destination
PBI,destination
MSY,destination
LAS,destination
